method,returns,epochs
Reward to go,61.21686746987952,15
Vanilla,77.26153846153846,16
Reward to go,68.21621621621621,16
Vanilla,92.96296296296296,17
Reward to go,67.12,17
Vanilla,89.80357142857143,18
Reward to go,70.31944444444444,18
Vanilla,98.98039215686275,19
Reward to go,69.20270270270271,19
Vanilla,104.95833333333333,20
Reward to go,79.296875,20
Vanilla,119.97619047619048,21
Reward to go,84.23333333333333,21
Vanilla,135.54054054054055,22
Reward to go,86.22413793103448,22
Vanilla,147.26470588235293,23
Reward to go,101.86,23
Vanilla,149.7941176470588,24
Reward to go,108.80434782608695,24
Vanilla,165.32258064516128,25
Reward to go,140.33333333333334,25
Vanilla,179.57142857142858,26
Reward to go,167.13333333333333,26
Vanilla,187.66666666666666,27
Reward to go,195.22222222222223,27
Vanilla,209.5,28
Reward to go,201.5,28
Vanilla,203.28,29
Reward to go,251.9,29
Vanilla,210.875,30
Reward to go,239.85714285714286,30
Vanilla,230.17391304347825,31
Reward to go,328.125,31
Vanilla,208.58333333333334,32
Reward to go,350.1333333333333,32
Vanilla,270.05263157894734,33
Reward to go,325.1875,33
Vanilla,268.2105263157895,34
Reward to go,306.0,34
Vanilla,333.6666666666667,35
Reward to go,293.1111111111111,35
Vanilla,349.93333333333334,36
Reward to go,288.89473684210526,36
Vanilla,280.1666666666667,37
Reward to go,296.5882352941176,37
Vanilla,239.1904761904762,38
Reward to go,345.8,38
Vanilla,209.45833333333334,39
Reward to go,347.0,39
Vanilla,218.1304347826087,40
Reward to go,393.2307692307692,40
Vanilla,189.14814814814815,41
Reward to go,366.7142857142857,41
Vanilla,190.88888888888889,42
Reward to go,389.0,42
Vanilla,190.7037037037037,43
Reward to go,398.7692307692308,43
Vanilla,185.77777777777777,44
Reward to go,390.0769230769231,44
Vanilla,185.55555555555554,45
Reward to go,410.0,45
Vanilla,189.62962962962962,46
Reward to go,445.3333333333333,46
Vanilla,227.36363636363637,47
Reward to go,421.0833333333333,47
Vanilla,283.72222222222223,48
Reward to go,469.3636363636364,48
Vanilla,327.0625,49
Reward to go,453.5,49
Vanilla,362.2142857142857,50
Reward to go,480.27272727272725,50
Vanilla,24.64039408866995,1
Reward to go,21.50214592274678,1
Vanilla,28.27683615819209,2
Reward to go,25.927461139896373,2
Vanilla,32.45161290322581,3
Reward to go,30.30909090909091,3
Vanilla,37.65413533834587,4
Reward to go,32.17307692307692,4
Vanilla,40.959349593495936,5
Reward to go,36.3768115942029,5
Vanilla,44.166666666666664,6
Reward to go,40.048,6
Vanilla,46.706422018348626,7
Reward to go,42.8974358974359,7
Vanilla,51.46938775510204,8
