,returns,epochs,method
203,26.951612903225808,3,GAE
204,30.687116564417177,4,GAE
205,31.18633540372671,5,GAE
206,37.796992481203006,6,GAE
207,43.26724137931034,7,GAE
208,44.21739130434783,8,GAE
209,47.79047619047619,9,GAE
210,49.18627450980392,10,GAE
211,50.696969696969695,11,GAE
212,56.7752808988764,12,GAE
213,53.806451612903224,13,GAE
214,60.34939759036145,14,GAE
215,66.63157894736842,15,GAE
216,67.30666666666667,16,GAE
217,80.12698412698413,17,GAE
218,74.20588235294117,18,GAE
219,77.50769230769231,19,GAE
220,102.16326530612245,20,GAE
221,123.26829268292683,21,GAE
222,137.3783783783784,22,GAE
223,158.875,23,GAE
224,157.375,24,GAE
225,151.54545454545453,25,GAE
226,176.0344827586207,26,GAE
227,148.47058823529412,27,GAE
228,188.03703703703704,28,GAE
229,205.36,29,GAE
230,228.95652173913044,30,GAE
231,300.8235294117647,31,GAE
232,320.6875,32,GAE
233,334.8,33,GAE
234,388.85714285714283,34,GAE
235,319.0625,35,GAE
236,304.0,36,GAE
237,383.0,37,GAE
238,415.9230769230769,38,GAE
239,444.1666666666667,39,GAE
240,452.25,40,GAE
241,461.8181818181818,41,GAE
242,476.8181818181818,42,GAE
243,466.54545454545456,43,GAE
244,447.3333333333333,44,GAE
245,417.7692307692308,45,GAE
246,343.0,46,GAE
247,384.2142857142857,47,GAE
248,457.0,48,GAE
249,469.45454545454544,49,GAE
